"235","Kuş Gribi","Kuş gribi nedir, nasıl bulaşır, belirtileri nelerdir sorularına cevap olabilecek dokümanlar.","Kuş gribi ile alakalı her türlü bilginin elde edilebileceği bir doküman olmalı. Hastalığının tanımını, bulaşma yollarını, belirtilerini, varsa tedavi yollarını ve buna benzer birçok konuyu okuyucuya açıklayan nitelikte bir doküman."
"238","Kıbrıs Sorunu","Türkiye'nin Avrupa Birliği'ne tam üyelik sürecinde Kıbrıs sorununu ele alan bir doküman.","Kıbrıs sorununun, Türkiye'nin Avrupa Birliği'ne tam üyelik sürecinde getirebileceği olumsuzlukları anlatan aynı zamanda bu sorunu en uygun şekilde nasıl çözülebileceğini anlatan bir doküman olmalı."
"241","Üniversiteye giriş sınavı","Türkiye'de üniversiteye giriş sınavının gençler üzerindeki etkileri, gençlerin ve kamuoyunun bu sınav için düşündükleri.","Gençlerin üniversiteye giriş sınavı sürecinde yasadıkları, bu sınavın gençlerin üzerindeki etkileri, dershaneler ve sınavın kapsamı konusunda yapılan öneriler ve görüşler."
"243","Tsunami","Güney Asya'yı 26 Aralık 2004'te vuran büyük Tsunami faciası ve bu facianın sonuçları.","Güney Asya'da 26 Aralık 2004 tarihinde meydana gelen 8.9 büyüklüğündeki deprem ve bu deprem sonrasında oluşan dev dalgalar, bu facia sonrasında hangi ülkede kaç kişinin öldüğüne dair bilgiler, ve afetten sonra diğer ülkeler tarafından yapılan yardımları içeren bir doküman."
"244","Mavi Akım Doğalgaz Projesi","Mavi akımın ulusal enerji politikamızdaki yeri, ekonomik maliyeti",
"258","Deprem Tedbir Önlem","Büyük bir bölümü deprem bölgesi olan Türkiye'de deprem öncesi alınan tedbirler nelerdir?","Deprem hasarlarını en aza indirmek için alınan önlemler nelerdir? Bu konuda ne tür çalışmalar yapılmaktadır ve yapılan çalışmalar yeterli midir? Halk deprem konusunda ne kadar bilinçlidir?"
"265","Türkiye PKK çatışmaları","Türk Silahlı Kuvvetleri ile PKK arasında meydana gelen çatışmalar","Türk Silahlı Kuvvetleri ile PKK arasında meydana gelen çatışmaları ve bu çatışmalar sonucunda şehit olan askerlerin sayısı ile ilgili bilgi veren bir doküman olmalı. Bunlara ek olarak bu doküman PKK'nın Türkiye'yi ekonomik açıdan nasıl olumsuz etkilediğine dair somut örnekler verebilmeli."
"270","Film Festivalleri","Türkiye'de gerçekleştirilen film festivalleri ve bu festivallerde ödül alan sanatçılar.","3-9 Ekim 2004 tarihleri arasında yapılan Antalya Altın Portakal Film Festivalinde Yaşam Boyu Onur Ödülü, Türk Sinema Tarihi'nin yaşayan efsanelerinden biri olan Şener Şen'e verilmesi, aynı festivalde verilen diğer ödüller ve bu ödüllerin sahiplerini içeren bir doküman."
"271","Bedelli askerlik uygulaması","Askerlik hizmetinin bedelli olarak yapılmasının Türk kamuoyu üzerindeki etkileri, ilgili makamların söz konusu uygulama hakkındaki görüşleri.","Bedelli askerlik uygulamasının askerlik çağını çoktan geçmiş kişilerin hayatlarındaki etkileri, askerlik korkusu ile yaşayanlar için bir kurtuluş yolu olduğunu düşünenlerin görüşleri, ilgili makamların açıklamaları, ortadireğin tepkileri, politikacıların oy amacıyla konuya ilişkin oluşturdukları gündem ve konu ile ilgili yapılan tartışmalar."
"278","Stresle Başa Çıkma Yolları","Günlük hayatımızı birçok yönden olumsuz etkileyen stresle nasıl mücadele edebiliriz?","Çağımız insanının en sık karşılaştığı sorunlardan biri olan ve günlük yaşantı kalitemizi olumsuz yönde etkileyen stresle nasıl mücadele edebiliriz, uzmanlar stres oluşumunu nelere bağlıyorlar ve bu sorunu yenebilmemiz için nasıl tavsiyelerde bulunuyorlar?"
"282","Şampiyonlar Ligi","Futbol Avrupa Şampiyonlar ligi 2004-2005 sezonu mücadelesi","2004-2005 sezonu arasında gerçekleştirilen Futbol Avrupa Şampiyonlar Ligi maçlarına katılan bütün takımların şampiyona sonundaki puan durumlarını, attığı-yediği golleri, bu gollerin kimin tarafından atıldığını, kendi sahalarında ve deplasmanda gösterdikleri performanslarını ve bunun gibi daha birçok bilgiyi açıklayan bir doküman."
"283","17 Ağustos Depremi","17 Ağustos Depreminin Türkiye üzerindeki sosyal ve ekonomik etkileri","17 Ağustos Depreminin Türkiye üzerindeki sosyal ve ekonomik boyuttaki etkileri ve Depremin neden olduğu sorunlar, deprem konusunda alınan önlemler"
"284","Türkiye'de internet kullanımı","Son yıllarda bilişim teknolojisinin gelişmesiyle internet kullanımının artması, kullanıcı profili, kullanım amaçları.","Türkiye'de internetin kullanım amaçları, kimlerin daha çok kullandığı, Türk eğitim sisteminde internetin yeri, kamu kurumlarında internet kullanımı, Türkiye'de internet üzerinden yapılan ticaretin boyutları, sınavlarda internetten yararlanılması, internetin Türkiye'deki geleceği."
"288","Amerika Irak işgal demokrasi petrol","Amerikanın Irak operasyonu demokrasi adına yapılmış bir hareket midir yoksa petrol için yapılan bir işgal midir?","Amerikanın Irakı işgal etmek için öne sürdüğü Iraka demokrasi getirme ve bu sayede dünya barışına katkıda bulunma savı doğru mudur. yoksa bu işgalin tek sebebi petrol ve diğer zenginlik kaynaklarını sömürmek midir?"
"289","Türkiye'de futbol şikesi","Şikenin Türk futbolundaki yeri, etkisi, yarattığı sonuçlar, bu konuda alınan tedbirler, verilen cezalar, uzman görüşleri.","Türk futbolunda şikenin boyutları, yaşanmış örnekler, şikeye karışmış takımlar ve futbolcular, şikenin Türk futbolu üzerindeki etkisi, şikeyi önlemek için alınan tedbirler, şike soruşturmaları, şike suçlaması sonucu ceza alan takımlar ve futbolcular, kamuoyunun bu konudaki düşünceleri, uzmanların bu konudaki görüşleri."
"294","Fadıl Akgündüz","Fadıl Akgündüz'ün milletvekili olamayacağına ilişkin  yapılan itirazlar.","Yargıtay Başsavcısı Kanadoğlu'nun, Siirt bağımsız milletvekili olarak seçilen Fadıl Akgündüz'ün milletvekilliğine dair yaptığı itirazlar, bu itirazların nedenleri ve Fadıl Akgündüz'ün bu konu hakkındaki cevaplarını içeren bir doküman."
"295","İşsizlik sorunu","Türkiye'de işsizlik sorununun bireylerin ruhsal sağlığı üzerindeki olumsuz etkileri, işsizliğin toplumsal ve ekonomik sonuçları.","Çalışma gücü ve isteğine sahip olmasına rağmen iş bulamayanların ya da sahip oldukları işten kendi iradesi dışında ayrılmak zorunda kalan bireylerin yaşadığı zorluklar, işsizliğin toplum refahı ve ekonomiye olumsuz etkileri, problemin çözümü için öneriler ve görüşler."
"296","2005 F1 Türkiye Grand Prix","Formula 1'de 2005 sezonun 14'üncü yarışı Türkiye Grand Prix'sini rakamlarla anlatan bir doküman.","Formula 1'de sezonun 14'üncü yarışı Türkiye Grand Prix'sini kimin kazandığını, yarışın kaç ülkede gösterildiğini, kaç kişi tarafından izlendiğini, pilotların sıralamasını, Türkiye'nin bu organizasyon sonunda elde ettiği mali kazancı ve benzeri bilgileri açıklayan bir doküman."
"298","Ekonomik kriz","Türkiye'de ekonomik krize neden olan olaylar.","Türkiye'de son bir kaç yıl içinde olan ekonomik krizlerin nedenleri ve bunlara zemin hazırlayan olaylar."
"300","Nuri Bilge Ceylan","Nuri Bilge Ceylan sinemasının Türk sinemasına etkileri","Nuri Bilge Ceylan sineması, yeni Türk sineması içinde aldığı yer, Türk sinemasının gelişimine ne şekilde katkıda bulunabileceği, bu konudaki farklı görüşler."
"301","Türkiye'de meydana gelen depremler","Türkiye'de meydana gelen depremlerin insanlar üzerindeki etkileri ve bu depremlere karşı alınan önlemler.","Türkiye'de meydana gelen depremlere karşı insanların aldığı eğitim ve önlemler. Depremlerin, meydana geldikten sonra insanlarda bıraktığı etkiler ve devletin depremlerden sonra aldığı önlemler."
"302","ABD-Irak Savaşı","ABD ve İngiltere'nin Irak'a yönelik başlattığı saldırının ardından tarafların kayıplarını açıklayan bir doküman.","Irak Savaş'ının başlamasından yaklaşık bir ay sonra iki tarafında kaybettiği asker sayısı, toplam asker sayıları, sivil kayıplar, savaş esirleri ve kuşatılan bölgeler hakkında bilgi veren ve aynı zamanda Amerika'nın Irak'a saldırmasının nedenlerini açıklayan bir doküman."
